OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.5530601YJ2753B,2020/12/18 00:00:00.000,functional,1830/01/01 00:00:00.000,1830/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5530601&rc2=YJ2753B,5530601YJ2753B,5530601YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5530601YJ2753B,jpeg,NotOfficial,grossFloorArea,2624,m2,468.750000000000000,1163.171634929999982,545.236703873437477,75.024570452984989,54.926477718705840,19.797785910344988
2,ES.SDGC.BU.5530902YJ2753B,2020/12/18 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5530902&rc2=YJ2753B,5530902YJ2753B,5530902YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,5,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5530902YJ2753B,jpeg,NotOfficial,grossFloorArea,578,m2,118.750000000000000,1185.399304840000013,140.766167449750014,19.369424641085601,18.964197004214949,7.331612517341472
3,ES.SDGC.BU.5530903YJ2753B,2020/12/18 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5530903&rc2=YJ2753B,5530903YJ2753B,5530903YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,8,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5530903YJ2753B,jpeg,NotOfficial,grossFloorArea,1257,m2,281.250000000000000,1166.148577200000091,327.979287337500011,45.129949937640006,56.965704810789227,23.648522552672485
4,ES.SDGC.BU.5531705YJ2753B,2020/12/18 00:00:00.000,functional,1945/01/01 00:00:00.000,1945/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5531705&rc2=YJ2753B,5531705YJ2753B,5531705YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,11, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5531705YJ2753B,jpeg,NotOfficial,grossFloorArea,2594,m2,218.750000000000000,1047.533070590000079,229.147859191562503,31.530745424759001,17.085314902987992,3.234585355423869
5,ES.SDGC.BU.5531706YJ2753B,2020/12/18 00:00:00.000,functional,1936/01/01 00:00:00.000,1936/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5531706&rc2=YJ2753B,5531706YJ2753B,5531706YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5531706YJ2753B,jpeg,NotOfficial,grossFloorArea,2580,m2,550.000000000000000,1142.702866990000075,628.486576844500064,86.479752973803215,2.904930656511715,0.500421629608932
6,ES.SDGC.BU.5630601YJ2753B,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1995/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630601&rc2=YJ2753B,5630601YJ2753B,5630601YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,11, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630601YJ2753B,jpeg,NotOfficial,grossFloorArea,1178,m2,181.250000000000000,1180.020812989999968,213.878772354437501,29.429719075970599,70.055560823148099,268.113405003697039
7,ES.SDGC.BU.5630602YJ2753B,2020/12/18 00:00:00.000,functional,1940/01/01 00:00:00.000,1940/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630602&rc2=YJ2753B,5630602YJ2753B,5630602YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630602YJ2753B,jpeg,NotOfficial,grossFloorArea,1285,m2,293.750000000000000,1062.235167159999946,312.031580353249979,42.935545456607194,96.538171922263530,428.026450500759211
8,ES.SDGC.BU.5630603YJ2753B,2020/12/18 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630603&rc2=YJ2753B,5630603YJ2753B,5630603YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,8,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630603YJ2753B,jpeg,NotOfficial,grossFloorArea,1021,m2,87.500000000000000,1074.120906280000099,93.985579299500003,12.932415711611199,81.899142350292820,207.028640505023958
9,ES.SDGC.BU.5630604YJ2753B,2020/12/18 00:00:00.000,functional,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630604&rc2=YJ2753B,5630604YJ2753B,5630604YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630604YJ2753B,jpeg,NotOfficial,grossFloorArea,1264,m2,231.250000000000000,1244.604863349999960,287.814874649687511,39.603326751797006,121.726385118337475,301.919803200231684
10,ES.SDGC.BU.5630901YJ2753B,2020/12/18 00:00:00.000,functional,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630901&rc2=YJ2753B,5630901YJ2753B,5630901YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630901YJ2753B,jpeg,NotOfficial,grossFloorArea,1518,m2,212.500000000000000,1208.312237910000022,256.766350555875022,35.331049836488404,29.432244322310556,9.575509816020494
11,ES.SDGC.BU.5630903YJ2753B,2020/12/18 00:00:00.000,functional,1880/01/01 00:00:00.000,1880/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630903&rc2=YJ2753B,5630903YJ2753B,5630903YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,3,3, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630903YJ2753B,jpeg,NotOfficial,grossFloorArea,1043,m2,150.000000000000000,1183.888801569999941,177.583320235499997,24.435464864404800,23.528980267228199,11.055252070742357
12,ES.SDGC.BU.5630904YJ2753B,2020/12/18 00:00:00.000,functional,1880/01/01 00:00:00.000,1880/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5630904&rc2=YJ2753B,5630904YJ2753B,5630904YJ2753B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5630904YJ2753B,jpeg,NotOfficial,grossFloorArea,2610,m2,300.000000000000000,1202.054425560000027,360.616327667999997,49.620806687116804,160.141095546547263,655.087885555868070
