OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.000500100YJ27H,2015/10/02 00:00:00.000,declined,1880/01/01 00:00:00.000,1880/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0005001&rc2=00YJ27H,000500100YJ27H,000500100YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,2,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000500100YJ27H,jpeg,NotOfficial,grossFloorArea,268,m2,93.750000000000000,1217.808732100000043,114.169568634374997,15.709732644090000,119.698645861051318,368.933599995019449
2,ES.SDGC.BU.001400200YJ28B,2013/08/02 00:00:00.000,functional,1850/01/01 00:00:00.000,1850/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014002&rc2=00YJ28B,001400200YJ28B,001400200YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400200YJ28B,jpeg,NotOfficial,grossFloorArea,154,m2,12.500000000000000,1094.948120120000112,13.686851501500001,1.883310766606400,57.259283248490334,122.444868399867502
3,ES.SDGC.BU.001400300YJ28B,2008/10/20 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014003&rc2=00YJ28B,001400300YJ28B,001400300YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400300YJ28B,jpeg,NotOfficial,grossFloorArea,74,m2,31.250000000000000,1131.111962890000086,35.347248840312503,4.863781440427000,40.642716756554101,83.276750004755343
4,ES.SDGC.BU.001400400YJ28A,2008/10/20 00:00:00.000,functional,1960/01/01 00:00:00.000,1960/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014004&rc2=00YJ28A,001400400YJ28A,001400400YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400400YJ28A,jpeg,NotOfficial,grossFloorArea,189,m2,137.500000000000000,1143.339566319999903,157.209190368999998,21.631984594774401,71.956971987903941,175.717115005929259
5,ES.SDGC.BU.001400500YJ28B,2016/10/18 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014005&rc2=00YJ28B,001400500YJ28B,001400500YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400500YJ28B,jpeg,NotOfficial,grossFloorArea,185,m2,43.750000000000000,982.020856585000047,42.963412475593749,5.911765556641700,43.685542530156823,83.921156409110864
6,ES.SDGC.BU.001400600YJ28B,2016/10/18 00:00:00.000,functional,1910/01/01 00:00:00.000,1910/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014006&rc2=00YJ28B,001400600YJ28B,001400600YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400600YJ28B,jpeg,NotOfficial,grossFloorArea,95,m2,25.000000000000000,1048.879104610000013,26.221977615250001,3.608144119858400,41.985304082223919,57.066785603047506
7,ES.SDGC.BU.001400700YJ28B,2016/10/18 00:00:00.000,functional,2006/01/01 00:00:00.000,2006/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014007&rc2=00YJ28B,001400700YJ28B,001400700YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400700YJ28B,jpeg,NotOfficial,grossFloorArea,106,m2,12.500000000000000,1179.144226070000059,14.739302825875001,2.028128068840400,33.092306319259407,61.269824999315709
8,ES.SDGC.BU.001400800YJ28B,2008/10/20 00:00:00.000,declined,1850/01/01 00:00:00.000,1850/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014008&rc2=00YJ28B,001400800YJ28B,001400800YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400800YJ28B,jpeg,NotOfficial,grossFloorArea,118,m2,37.500000000000000,1035.664316809999946,38.837411880374994,5.344027874739600,28.763915757047180,50.897807500034681
9,ES.SDGC.BU.001400900YJ28B,2008/10/20 00:00:00.000,functional,1850/01/01 00:00:00.000,1850/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014009&rc2=00YJ28B,001400900YJ28B,001400900YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001400900YJ28B,jpeg,NotOfficial,grossFloorArea,160,m2,18.750000000000000,1247.998860680000007,23.399978637749999,3.219837060554400,26.181958957009648,39.918619994670259
10,ES.SDGC.BU.001401000YJ28B,2008/10/20 00:00:00.000,functional,1925/01/01 00:00:00.000,1925/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0014010&rc2=00YJ28B,001401000YJ28B,001401000YJ28B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001401000YJ28B,jpeg,NotOfficial,grossFloorArea,159,m2,137.500000000000000,1226.165055709999933,168.597695160124999,23.199042854033198,92.659562311370195,180.475525130648123
