OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.6019201YJ2762A,2020/12/18 00:00:00.000,functional,1948/01/01 00:00:00.000,1948/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019201&rc2=YJ2762A,6019201YJ2762A,6019201YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019201YJ2762A,jpeg,NotOfficial,grossFloorArea,3116,m2,143.750000000000000,1091.267599349999955,156.869717406562501,21.585273115143000,82.259983537064727,357.586694972104851
2,ES.SDGC.BU.6019202YJ2762A,2020/12/18 00:00:00.000,functional,1994/01/01 00:00:00.000,1994/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019202&rc2=YJ2762A,6019202YJ2762A,6019202YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,26,7, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019202YJ2762A,jpeg,NotOfficial,grossFloorArea,2846,m2,112.500000000000000,1124.757873539999991,126.535260773250002,17.411251882399203,96.341639577152051,397.105418501163342
3,ES.SDGC.BU.6019203YJ2762A,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1970/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019203&rc2=YJ2762A,6019203YJ2762A,6019203YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,27,18, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019203YJ2762A,jpeg,NotOfficial,grossFloorArea,6728,m2,462.500000000000000,1040.281195560000015,481.130052946500030,66.203495285438393,131.835025131641828,963.640197073458239
4,ES.SDGC.BU.6019204YJ2762A,2020/12/18 00:00:00.000,functional,2009/01/01 00:00:00.000,2009/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019204&rc2=YJ2762A,6019204YJ2762A,6019204YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019204YJ2762A,jpeg,NotOfficial,grossFloorArea,3197,m2,356.250000000000000,970.554602907000003,345.760077285618763,47.576586634501140,129.553778724267517,700.381918883422259
5,ES.SDGC.BU.6019205YJ2762A,2020/12/18 00:00:00.000,functional,2007/01/01 00:00:00.000,2007/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019205&rc2=YJ2762A,6019205YJ2762A,6019205YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,52,5, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019205YJ2762A,jpeg,NotOfficial,grossFloorArea,3095,m2,331.250000000000000,1101.913468270000067,365.008836364437514,50.225215883746600,141.561396310936232,588.325215436633357
6,ES.SDGC.BU.6019206YJ2762A,2020/12/18 00:00:00.000,functional,1951/01/01 00:00:00.000,1951/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019206&rc2=YJ2762A,6019206YJ2762A,6019206YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019206YJ2762A,jpeg,NotOfficial,grossFloorArea,3031,m2,106.250000000000000,1103.813325769999892,117.280165863062493,16.137750822757397,93.320161893584526,415.896218625032816
7,ES.SDGC.BU.6019207YJ2762A,2020/12/18 00:00:00.000,functional,1910/01/01 00:00:00.000,1910/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019207&rc2=YJ2762A,6019207YJ2762A,6019207YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_1_office,13,2, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019207YJ2762A,jpeg,NotOfficial,grossFloorArea,1652,m2,243.750000000000000,983.546532264000007,239.739467239350006,32.988150692134560,182.206236346772187,480.936000464763254
8,ES.SDGC.BU.6019208YJ2762A,2020/12/18 00:00:00.000,functional,1975/01/01 00:00:00.000,1975/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019208&rc2=YJ2762A,6019208YJ2762A,6019208YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019208YJ2762A,jpeg,NotOfficial,grossFloorArea,2998,m2,218.750000000000000,1045.632148090000101,228.732032394687536,31.473527657509003,160.819876577841427,528.168072020660247
9,ES.SDGC.BU.6019209YJ2762A,2020/12/18 00:00:00.000,functional,1910/01/01 00:00:00.000,1910/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019209&rc2=YJ2762A,6019209YJ2762A,6019209YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,9, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019209YJ2762A,jpeg,NotOfficial,grossFloorArea,1023,m2,81.250000000000000,1049.303955079999923,85.255946350249999,11.731218217794400,86.740474667151290,237.947588995111516
10,ES.SDGC.BU.6019210YJ2762A,2020/12/18 00:00:00.000,functional,1910/01/01 00:00:00.000,1910/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6019210&rc2=YJ2762A,6019210YJ2762A,6019210YJ2762A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_1_office,5,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6019210YJ2762A,jpeg,NotOfficial,grossFloorArea,398,m2,50.000000000000000,1096.450813290000042,54.822540664500004,7.543581595435201,45.251568008119342,86.373978502507342
