OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.3318601YJ2731G,2020/12/18 00:00:00.000,functional,1980/01/01 00:00:00.000,1980/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3318601&rc2=YJ2731G,3318601YJ2731G,3318601YJ2731G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,60,60, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3318601YJ2731G,jpeg,NotOfficial,grossFloorArea,8352,m2,262.500000000000000,1169.794914609999978,307.071165085125017,42.252992315713207,136.195337828802820,588.257016004872526
2,ES.SDGC.BU.3318602YJ2731G,2020/12/18 00:00:00.000,functional,1976/01/01 00:00:00.000,1976/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3318602&rc2=YJ2731G,3318602YJ2731G,3318602YJ2731G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,84,60, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3318602YJ2731G,jpeg,NotOfficial,grossFloorArea,7703,m2,293.750000000000000,1176.948521389999996,345.728628158312517,47.572259234583804,159.021094459340475,573.788752505455932
3,ES.SDGC.BU.3319601YJ2731G,2020/12/18 00:00:00.000,functional,1978/01/01 00:00:00.000,1978/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3319601&rc2=YJ2731G,3319601YJ2731G,3319601YJ2731G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,60,60, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3319601YJ2731G,jpeg,NotOfficial,grossFloorArea,7308,m2,275.000000000000000,1187.649978639999972,326.603744125999981,44.940675191737597,161.661398481136644,525.285650019808031
4,ES.SDGC.BU.3320001YJ2732A,2020/12/18 00:00:00.000,functional,1975/01/01 00:00:00.000,1975/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3320001&rc2=YJ2732A,3320001YJ2732A,3320001YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,48,48, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3320001YJ2732A,jpeg,NotOfficial,grossFloorArea,6262,m2,175.000000000000000,1186.967653550000023,207.719339371250015,28.582181097484003,176.985497390092917,498.420401053067565
5,ES.SDGC.BU.3320401YJ2732A,2020/12/18 00:00:00.000,functional,1963/01/01 00:00:00.000,1963/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3320401&rc2=YJ2732A,3320401YJ2732A,3320401YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,71,62, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3320401YJ2732A,jpeg,NotOfficial,grossFloorArea,6188,m2,500.000000000000000,1148.404871369999910,574.202435684999955,79.010255150256000,260.653171917986128,1537.663970141644995
6,ES.SDGC.BU.3321001YJ2732A,2020/10/22 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321001&rc2=YJ2732A,3321001YJ2732A,3321001YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,31,28, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321001YJ2732A,jpeg,NotOfficial,grossFloorArea,2436,m2,137.500000000000000,1074.892655809999951,147.797740173875013,20.336969047925201,89.679261055511844,461.560028905461877
7,ES.SDGC.BU.3321002YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321002&rc2=YJ2732A,3321002YJ2732A,3321002YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,60,54, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321002YJ2732A,jpeg,NotOfficial,grossFloorArea,4691,m2,200.000000000000000,1097.403402330000063,219.480680466000024,30.200541632121602,108.575018050501740,732.609210493599676
8,ES.SDGC.BU.3321003YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321003&rc2=YJ2732A,3321003YJ2732A,3321003YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,58,54, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321003YJ2732A,jpeg,NotOfficial,grossFloorArea,4873,m2,225.000000000000000,1214.833445230000052,273.337525176750034,37.611243464320800,111.661134929297830,777.055335651067139
9,ES.SDGC.BU.3321004YJ2732A,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1980/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321004&rc2=YJ2732A,3321004YJ2732A,3321004YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,2,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321004YJ2732A,jpeg,NotOfficial,grossFloorArea,5588,m2,537.500000000000000,1110.949782969999887,597.135508346374991,82.165845948461197,244.240464449623630,1311.307166712794242
10,ES.SDGC.BU.3321005YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321005&rc2=YJ2732A,3321005YJ2732A,3321005YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,65,60, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321005YJ2732A,jpeg,NotOfficial,grossFloorArea,5314,m2,581.250000000000000,1114.442751649999991,647.769849396562449,89.133131276966992,134.332303718857929,1095.024381131908285
11,ES.SDGC.BU.3321006YJ2732A,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321006&rc2=YJ2732A,3321006YJ2732A,3321006YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,11,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321006YJ2732A,jpeg,NotOfficial,grossFloorArea,1337,m2,112.500000000000000,1026.121588810000048,115.438678741125017,15.884362194778801,75.016285885567768,253.925854413469864
12,ES.SDGC.BU.3321007YJ2732A,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1970/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321007&rc2=YJ2732A,3321007YJ2732A,3321007YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,60,56, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321007YJ2732A,jpeg,NotOfficial,grossFloorArea,5541,m2,256.250000000000000,1117.325301009999976,286.314608383812470,39.396890113612599,122.804193673044196,761.886134652731357
13,ES.SDGC.BU.3321008YJ2732A,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1970/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321008&rc2=YJ2732A,3321008YJ2732A,3321008YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,36,32, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321008YJ2732A,jpeg,NotOfficial,grossFloorArea,3305,m2,256.250000000000000,1163.982805950000056,298.270594024687512,41.042033737796999,96.370083625166416,464.215087870603440
14,ES.SDGC.BU.3321009YJ2732A,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1970/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321009&rc2=YJ2732A,3321009YJ2732A,3321009YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,63,60, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321009YJ2732A,jpeg,NotOfficial,grossFloorArea,5637,m2,325.000000000000000,1146.246909510000023,372.530245590749985,51.260161793287196,116.592218591646173,761.379840480444500
15,ES.SDGC.BU.3321010YJ2732A,2020/10/22 00:00:00.000,functional,1999/01/01 00:00:00.000,1999/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321010&rc2=YJ2732A,3321010YJ2732A,3321010YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,275,79, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321010YJ2732A,jpeg,NotOfficial,grossFloorArea,18366,m2,837.500000000000000,1141.615066759999991,956.102618411499975,131.559720293422401,263.871017830979895,2671.084425551381628
16,ES.SDGC.BU.3321011YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321011&rc2=YJ2732A,3321011YJ2732A,3321011YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,66,62, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321011YJ2732A,jpeg,NotOfficial,grossFloorArea,5505,m2,368.750000000000000,1134.685599630000070,418.415314863562514,57.573947325226200,112.400705088840127,785.162116825793078
17,ES.SDGC.BU.3321012YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321012&rc2=YJ2732A,3321012YJ2732A,3321012YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,67,62, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321012YJ2732A,jpeg,NotOfficial,grossFloorArea,5284,m2,387.500000000000000,1137.258301769999889,440.687591935874934,60.638612650376395,109.988700162819214,752.392990849808371
18,ES.SDGC.BU.3321013YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321013&rc2=YJ2732A,3321013YJ2732A,3321013YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,65,62, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321013YJ2732A,jpeg,NotOfficial,grossFloorArea,5285,m2,368.750000000000000,1123.510096660000045,414.294348143375032,57.006902304528403,110.275031735856317,754.348219394641546
19,ES.SDGC.BU.3321014YJ2732A,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321014&rc2=YJ2732A,3321014YJ2732A,3321014YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,56,54, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321014YJ2732A,jpeg,NotOfficial,grossFloorArea,4751,m2,312.500000000000000,1113.917629390000002,348.099259184375001,47.898458063770001,111.976572320099223,722.764358506457711
20,ES.SDGC.BU.3321015YJ2732A,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1970/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=3321015&rc2=YJ2732A,3321015YJ2732A,3321015YJ2732A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=3321015YJ2732A,jpeg,NotOfficial,grossFloorArea,4156,m2,81.250000000000000,981.034128042000020,79.709022903412503,10.967961551509561,283.520939011404721,4145.693054750486226
