OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.000100100YJ28A,2022/03/10 00:00:00.000,functional,1968/01/01 00:00:00.000,1980/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0001001&rc2=00YJ28A,000100100YJ28A,000100100YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000100100YJ28A,jpeg,NotOfficial,grossFloorArea,934,m2,325.000000000000000,1204.222259520000080,391.372234343999992,53.852819445734397,154.410836842895577,364.333476772482413
2,ES.SDGC.BU.000100200YJ28A,2008/10/20 00:00:00.000,functional,1973/01/01 00:00:00.000,1973/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0001002&rc2=00YJ28A,000100200YJ28A,000100200YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000100200YJ28A,jpeg,NotOfficial,grossFloorArea,237,m2,50.000000000000000,1178.234970089999933,58.911748504499997,8.106256594219198,53.847816189698207,114.784394878086161
3,ES.SDGC.BU.000200100YJ28A,2016/08/11 00:00:00.000,functional,1890/01/01 00:00:00.000,1960/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002001&rc2=00YJ28A,000200100YJ28A,000200100YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200100YJ28A,jpeg,NotOfficial,grossFloorArea,645,m2,106.250000000000000,1198.311652690000074,127.320613098312506,17.519316362327800,58.150318744286771,210.368284885344679
4,ES.SDGC.BU.000200200YJ28A,2005/12/22 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002002&rc2=00YJ28A,000200200YJ28A,000200200YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200200YJ28A,jpeg,NotOfficial,grossFloorArea,146,m2,31.250000000000000,999.796850586000005,31.243651580812500,4.299126457519800,37.547611010282388,87.300704755729100
5,ES.SDGC.BU.000200300YJ28A,2016/08/11 00:00:00.000,functional,1975/01/01 00:00:00.000,1975/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002003&rc2=00YJ28A,000200300YJ28A,000200300YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200300YJ28A,jpeg,NotOfficial,grossFloorArea,505,m2,75.000000000000000,1189.839914959999987,89.237993621999991,12.279147922387198,95.869784628644908,276.074767491020111
6,ES.SDGC.BU.000200400YJ28A,2008/10/20 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002004&rc2=00YJ28A,000200400YJ28A,000200400YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200400YJ28A,jpeg,NotOfficial,grossFloorArea,90,m2,25.000000000000000,1239.467407229999935,30.986685180749998,4.263767880871201,39.193703255746009,96.343700000425997
7,ES.SDGC.BU.000400100YJ27G,2008/10/20 00:00:00.000,functional,1950/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0004001&rc2=00YJ27G,000400100YJ27G,000400100YJ27G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000400100YJ27G,jpeg,NotOfficial,grossFloorArea,359,m2,31.250000000000000,1000.110620120000021,31.253456878750001,4.300475666516000,81.686459043567254,256.415799998013085
8,ES.SDGC.BU.000400200YJ27G,2008/10/20 00:00:00.000,functional,1950/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0004002&rc2=00YJ27G,000400200YJ27G,000400200YJ27G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000400200YJ27G,jpeg,NotOfficial,grossFloorArea,100,m2,50.000000000000000,1195.147613529999944,59.757380676499999,8.222615581086400,40.728987820875560,92.449999993392254
9,ES.SDGC.BU.000400300YJ27G,2008/10/20 00:00:00.000,functional,1950/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0004003&rc2=00YJ27G,000400300YJ27G,000400300YJ27G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000400300YJ27G,jpeg,NotOfficial,grossFloorArea,670,m2,293.750000000000000,1125.337699729999940,330.567949295687470,45.486149823086599,174.998009185858137,617.218599978139309
10,ES.SDGC.BU.000700100YJ28A,2013/08/02 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0007001&rc2=00YJ28A,000700100YJ28A,000700100YJ28A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000700100YJ28A,jpeg,NotOfficial,grossFloorArea,1320,m2,243.750000000000000,1168.558224410000093,284.836067199937531,39.193442846711406,250.347326237842736,755.916522521380784
