OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.5123501YJ2752C,2020/12/18 00:00:00.000,functional,1967/01/01 00:00:00.000,1967/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5123501&rc2=YJ2752C,5123501YJ2752C,5123501YJ2752C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5123501YJ2752C,jpeg,NotOfficial,grossFloorArea,7046,m2,387.500000000000000,1107.183717789999946,429.033690643624993,59.035035832562805,281.271713945039835,1380.867402451771795
2,ES.SDGC.BU.5123502YJ2752C,2020/12/18 00:00:00.000,functional,1997/01/01 00:00:00.000,1997/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5123502&rc2=YJ2752C,5123502YJ2752C,5123502YJ2752C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,7,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5123502YJ2752C,jpeg,NotOfficial,grossFloorArea,958,m2,106.250000000000000,1096.677623080000103,116.521997452250019,16.033426849429603,59.954854312767836,200.114565998695895
3,ES.SDGC.BU.5123504YJ2752C,2020/10/26 00:00:00.000,functional,1942/01/01 00:00:00.000,1942/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5123504&rc2=YJ2752C,5123504YJ2752C,5123504YJ2752C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,5,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5123504YJ2752C,jpeg,NotOfficial,grossFloorArea,468,m2,81.250000000000000,1022.240220290000025,83.057017898562492,11.428645662842198,45.923694282726203,120.282364504364182
4,ES.SDGC.BU.5123505YJ2752C,2020/12/18 00:00:00.000,functional,1931/01/01 00:00:00.000,1931/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5123505&rc2=YJ2752C,5123505YJ2752C,5123505YJ2752C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,8,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5123505YJ2752C,jpeg,NotOfficial,grossFloorArea,414,m2,37.500000000000000,1096.974629719999939,41.136548614499993,5.660389089355199,48.160755759524513,104.462297992973532
5,ES.SDGC.BU.5221301YJ2752A,2020/12/18 00:00:00.000,functional,1908/01/01 00:00:00.000,1908/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221301&rc2=YJ2752A,5221301YJ2752A,5221301YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,8,7, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221301YJ2752A,jpeg,NotOfficial,grossFloorArea,917,m2,112.500000000000000,1043.563639319999993,117.400909423499996,16.154365136673597,78.809715658910122,224.381487491980721
6,ES.SDGC.BU.5221302YJ2752A,2020/12/18 00:00:00.000,functional,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221302&rc2=YJ2752A,5221302YJ2752A,5221302YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,8,7, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221302YJ2752A,jpeg,NotOfficial,grossFloorArea,950,m2,125.000000000000000,992.795855713000037,124.099481964125005,17.076088718263602,70.424732550508210,242.282553988366402
7,ES.SDGC.BU.5221303YJ2752A,2020/12/18 00:00:00.000,functional,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221303&rc2=YJ2752A,5221303YJ2752A,5221303YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,10,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221303YJ2752A,jpeg,NotOfficial,grossFloorArea,865,m2,100.000000000000000,1193.548465730000089,119.354846573000003,16.423226888444798,90.784051073671080,233.270856630689451
8,ES.SDGC.BU.5221304YJ2752A,2020/12/18 00:00:00.000,functional,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221304&rc2=YJ2752A,5221304YJ2752A,5221304YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,10,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221304YJ2752A,jpeg,NotOfficial,grossFloorArea,847,m2,125.000000000000000,1186.934039309999889,148.366754913749986,20.415265476131999,67.776743201254021,248.822512626964823
9,ES.SDGC.BU.5221305YJ2752A,2020/12/18 00:00:00.000,declined,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221305&rc2=YJ2752A,5221305YJ2752A,5221305YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,5,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221305YJ2752A,jpeg,NotOfficial,grossFloorArea,402,m2,50.000000000000000,1194.851463319999993,59.742573166000000,8.220578067641600,58.861972209121248,111.920164995389101
10,ES.SDGC.BU.5221306YJ2752A,2020/12/18 00:00:00.000,declined,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221306&rc2=YJ2752A,5221306YJ2752A,5221306YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,9,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221306YJ2752A,jpeg,NotOfficial,grossFloorArea,725,m2,81.250000000000000,1150.684654820000105,93.493128204125014,12.864654440887602,61.214036714498377,154.864489488729419
11,ES.SDGC.BU.5221307YJ2752A,2020/12/18 00:00:00.000,functional,1915/01/01 00:00:00.000,1915/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221307&rc2=YJ2752A,5221307YJ2752A,5221307YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,10,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221307YJ2752A,jpeg,NotOfficial,grossFloorArea,653,m2,62.500000000000000,1181.197271730000011,73.824829483125001,10.158296536878000,62.135841840568716,130.491417488609414
12,ES.SDGC.BU.5221308YJ2752A,2020/12/18 00:00:00.000,functional,1915/01/01 00:00:00.000,1915/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221308&rc2=YJ2752A,5221308YJ2752A,5221308YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,10,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221308YJ2752A,jpeg,NotOfficial,grossFloorArea,743,m2,125.000000000000000,1191.882391359999929,148.985298919999991,20.500377131391996,68.114291449639438,176.531499499515235
13,ES.SDGC.BU.5221309YJ2752A,2020/12/18 00:00:00.000,functional,1915/01/01 00:00:00.000,1915/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221309&rc2=YJ2752A,5221309YJ2752A,5221309YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,9,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221309YJ2752A,jpeg,NotOfficial,grossFloorArea,802,m2,93.750000000000000,1089.112792970000100,102.104324340937509,14.049555029313000,85.336981789639168,228.661900019775487
14,ES.SDGC.BU.5221310YJ2752A,2020/10/26 00:00:00.000,functional,1937/01/01 00:00:00.000,1937/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221310&rc2=YJ2752A,5221310YJ2752A,5221310YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221310YJ2752A,jpeg,NotOfficial,grossFloorArea,1455,m2,100.000000000000000,1118.960906979999891,111.896090697999981,15.396902080044796,81.096480425089368,258.419157490368661
15,ES.SDGC.BU.5221311YJ2752A,2020/12/18 00:00:00.000,functional,1940/01/01 00:00:00.000,1940/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221311&rc2=YJ2752A,5221311YJ2752A,5221311YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221311YJ2752A,jpeg,NotOfficial,grossFloorArea,1202,m2,81.250000000000000,1006.386864299999957,81.768932724375006,11.251405142874001,68.639080879439675,209.331925501362889
16,ES.SDGC.BU.5221312YJ2752A,2020/12/18 00:00:00.000,functional,1941/01/01 00:00:00.000,1941/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221312&rc2=YJ2752A,5221312YJ2752A,5221312YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,24,21, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221312YJ2752A,jpeg,NotOfficial,grossFloorArea,2397,m2,168.750000000000000,1159.446282280000105,195.656560134750009,26.922342674541600,69.005835410473310,316.996375006327980
17,ES.SDGC.BU.5221313YJ2752A,2020/12/18 00:00:00.000,functional,1937/01/01 00:00:00.000,1937/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221313&rc2=YJ2752A,5221313YJ2752A,5221313YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,14,11, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221313YJ2752A,jpeg,NotOfficial,grossFloorArea,1334,m2,125.000000000000000,1147.114562989999968,143.389320373749996,19.730370483428000,74.785171097479619,221.099309989605814
18,ES.SDGC.BU.5221314YJ2752A,2020/12/18 00:00:00.000,functional,1937/01/01 00:00:00.000,1937/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221314&rc2=YJ2752A,5221314YJ2752A,5221314YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,17,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221314YJ2752A,jpeg,NotOfficial,grossFloorArea,1936,m2,162.500000000000000,1201.978229229999897,195.321462249874969,26.876233205582796,102.403749910438052,340.451833011858810
19,ES.SDGC.BU.5221315YJ2752A,2020/12/18 00:00:00.000,functional,1937/01/01 00:00:00.000,1937/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221315&rc2=YJ2752A,5221315YJ2752A,5221315YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,15,13, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221315YJ2752A,jpeg,NotOfficial,grossFloorArea,2072,m2,150.000000000000000,1169.256619770000043,175.388492965500006,24.133456632052802,110.092550460962997,445.290404995703398
20,ES.SDGC.BU.5221316YJ2752A,2020/12/18 00:00:00.000,functional,1937/01/01 00:00:00.000,1937/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221316&rc2=YJ2752A,5221316YJ2752A,5221316YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,17,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221316YJ2752A,jpeg,NotOfficial,grossFloorArea,1890,m2,118.750000000000000,1159.599506580000025,137.702441406374987,18.947855937517200,84.449503660750381,335.754707011261985
21,ES.SDGC.BU.5221317YJ2752A,2020/12/18 00:00:00.000,functional,1937/01/01 00:00:00.000,1937/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5221317&rc2=YJ2752A,5221317YJ2752A,5221317YJ2752A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,17,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5221317YJ2752A,jpeg,NotOfficial,grossFloorArea,2255,m2,143.750000000000000,1162.100570020000077,167.051956940374993,22.986349274995600,74.800158558243695,315.911010498052860
