OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.000800100YJ27H,2008/10/20 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0008001&rc2=00YJ27H,000800100YJ27H,000800100YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000800100YJ27H,jpeg,NotOfficial,grossFloorArea,93,m2,6.250000000000000,1281.509399410000015,8.009433746312499,1.102098083492600,39.762418167986930,77.061949997379628
2,ES.SDGC.BU.000800200YJ27H,2008/10/20 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0008002&rc2=00YJ27H,000800200YJ27H,000800200YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000800200YJ27H,jpeg,NotOfficial,grossFloorArea,130,m2,43.750000000000000,1179.265851699999985,51.592881011874994,7.099180427233999,39.261259349111619,95.359350000755484
3,ES.SDGC.BU.000800400YJ27H,2008/10/20 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0008004&rc2=00YJ27H,000800400YJ27H,000800400YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000800400YJ27H,jpeg,NotOfficial,grossFloorArea,5133,m2,3700.000000000000000,1190.317287650000026,4404.173964305000482,606.014337488368142,345.415915574721339,4193.349910003123114
4,ES.SDGC.BU.001200100YJ27H,2016/10/04 00:00:00.000,functional,1890/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012001&rc2=00YJ27H,001200100YJ27H,001200100YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200100YJ27H,jpeg,NotOfficial,grossFloorArea,234,m2,106.250000000000000,1094.689033059999929,116.310709762624995,16.004353663337202,53.687251731657319,174.505457493142245
5,ES.SDGC.BU.001200200YJ27H,2008/10/20 00:00:00.000,functional,1965/01/01 00:00:00.000,1965/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012002&rc2=00YJ27H,001200200YJ27H,001200200YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200200YJ27H,jpeg,NotOfficial,grossFloorArea,110,m2,56.250000000000000,1252.233832469999925,70.438153076437487,9.692289863317798,41.083757126993603,105.300800008793175
6,ES.SDGC.BU.001200300YJ27H,2008/10/20 00:00:00.000,functional,1960/01/01 00:00:00.000,1960/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012003&rc2=00YJ27H,001200300YJ27H,001200300YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200300YJ27H,jpeg,NotOfficial,grossFloorArea,90,m2,81.250000000000000,1180.255126949999976,95.895729064687501,13.195252319301002,36.872627627983292,83.672000005344856
7,ES.SDGC.BU.001200400YJ27H,2016/03/15 00:00:00.000,functional,1930/01/01 00:00:00.000,2004/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012004&rc2=00YJ27H,001200400YJ27H,001200400YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200400YJ27H,jpeg,NotOfficial,grossFloorArea,165,m2,37.500000000000000,1060.093495690000054,39.753506088375005,5.470082437760401,42.160493875043045,97.116731991694664
8,ES.SDGC.BU.001200500YJ27H,2008/10/20 00:00:00.000,functional,1930/01/01 00:00:00.000,1930/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012005&rc2=00YJ27H,001200500YJ27H,001200500YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200500YJ27H,jpeg,NotOfficial,grossFloorArea,295,m2,100.000000000000000,1224.644004819999964,122.464400482000002,16.851101506323200,63.405561276875709,189.315986514865273
9,ES.SDGC.BU.001200600YJ27H,2008/10/20 00:00:00.000,functional,1930/01/01 00:00:00.000,1930/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012006&rc2=00YJ27H,001200600YJ27H,001200600YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200600YJ27H,jpeg,NotOfficial,grossFloorArea,181,m2,68.750000000000000,1269.554942739999888,87.281902313374985,12.009989758320398,61.828091279738047,119.319949996281608
10,ES.SDGC.BU.001200700YJ27H,2008/10/20 00:00:00.000,functional,1930/01/01 00:00:00.000,1930/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0012007&rc2=00YJ27H,001200700YJ27H,001200700YJ27H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001200700YJ27H,jpeg,NotOfficial,grossFloorArea,296,m2,100.000000000000000,1114.722999569999956,111.472299956999990,15.338588474083197,70.562888713553747,201.342322504129271
