OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.5330601YJ2753A,2020/12/18 00:00:00.000,functional,1850/01/01 00:00:00.000,1850/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330601&rc2=YJ2753A,5330601YJ2753A,5330601YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,6,5, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330601YJ2753A,jpeg,NotOfficial,grossFloorArea,706,m2,106.250000000000000,1103.633031509999910,117.261009597937488,16.135114920676198,48.139770411213092,141.208730374225922
2,ES.SDGC.BU.5330602YJ2753A,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330602&rc2=YJ2753A,5330602YJ2753A,5330602YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330602YJ2753A,jpeg,NotOfficial,grossFloorArea,1157,m2,112.500000000000000,1126.703420000000051,126.754134750000006,17.441368941600000,64.948666744300368,221.716032037064537
3,ES.SDGC.BU.5330603YJ2753A,2020/12/18 00:00:00.000,functional,1850/01/01 00:00:00.000,1850/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330603&rc2=YJ2753A,5330603YJ2753A,5330603YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,7,5, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330603YJ2753A,jpeg,NotOfficial,grossFloorArea,514,m2,87.500000000000000,1023.884604319999994,89.589902877999990,12.327570636012799,50.847379517939864,141.526545312514401
4,ES.SDGC.BU.5330604YJ2753A,2020/12/18 00:00:00.000,functional,1850/01/01 00:00:00.000,1850/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330604&rc2=YJ2753A,5330604YJ2753A,5330604YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,5,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330604YJ2753A,jpeg,NotOfficial,grossFloorArea,632,m2,100.000000000000000,1155.982177730000103,115.598217773000016,15.906314765564801,60.911622520107869,164.623972028923191
5,ES.SDGC.BU.5330605YJ2753A,2020/12/18 00:00:00.000,functional,1880/01/01 00:00:00.000,1880/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330605&rc2=YJ2753A,5330605YJ2753A,5330605YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_1_office,12,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330605YJ2753A,jpeg,NotOfficial,grossFloorArea,2046,m2,343.750000000000000,1164.946884989999944,400.450491715312467,55.101987660027000,127.050123614218805,439.168344877718368
6,ES.SDGC.BU.5330606YJ2753A,2020/12/18 00:00:00.000,functional,1996/01/01 00:00:00.000,1996/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330606&rc2=YJ2753A,5330606YJ2753A,5330606YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330606YJ2753A,jpeg,NotOfficial,grossFloorArea,1975,m2,318.750000000000000,1066.768692319999900,340.032520676999980,46.788474845155200,114.363738561351482,442.443159437975453
7,ES.SDGC.BU.5330607YJ2753A,2020/10/21 00:00:00.000,functional,1910/01/01 00:00:00.000,1910/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330607&rc2=YJ2753A,5330607YJ2753A,5330607YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,7,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330607YJ2753A,jpeg,NotOfficial,grossFloorArea,1018,m2,187.500000000000000,1142.994215899999972,214.311415481250009,29.489250770220004,75.344730391779194,222.340320043981251
8,ES.SDGC.BU.5330608YJ2753A,2020/10/21 00:00:00.000,functional,1910/01/01 00:00:00.000,1910/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330608&rc2=YJ2753A,5330608YJ2753A,5330608YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,5,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330608YJ2753A,jpeg,NotOfficial,grossFloorArea,585,m2,100.000000000000000,1137.937984469999947,113.793798447000000,15.658026666307199,51.049540465118191,135.150034782508641
9,ES.SDGC.BU.5330609YJ2753A,2022/03/08 00:00:00.000,functional,1905/01/01 00:00:00.000,1905/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5330609&rc2=YJ2753A,5330609YJ2753A,5330609YJ2753A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,6,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5330609YJ2753A,jpeg,NotOfficial,grossFloorArea,635,m2,106.250000000000000,1060.034215590000031,112.628635406437510,15.497700231925801,56.063353689593995,137.309733626115843
10,ES.SDGC.BU.5426303YJ2752E,2020/12/18 00:00:00.000,functional,1980/01/01 00:00:00.000,1980/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5426303&rc2=YJ2752E,5426303YJ2752E,5426303YJ2752E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,72,26, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5426303YJ2752E,jpeg,NotOfficial,grossFloorArea,4603,m2,243.750000000000000,1102.043957829999954,268.623214721062539,36.962554345618209,132.544634675115333,665.355946316481550
