OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.7727501YJ2772H,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727501&rc2=YJ2772H,7727501YJ2772H,7727501YJ2772H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,24,22, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727501YJ2772H,jpeg,NotOfficial,grossFloorArea,1407,m2,156.250000000000000,1194.477373050000097,186.637089539062515,25.681263520575005,67.637635206159629,233.610084999236022
2,ES.SDGC.BU.7727502YJ2772H,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727502&rc2=YJ2772H,7727502YJ2772H,7727502YJ2772H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,36,34, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727502YJ2772H,jpeg,NotOfficial,grossFloorArea,2130,m2,250.000000000000000,1195.020449829999961,298.755112457499990,41.108703474152001,91.942014320979581,354.189397494426885
3,ES.SDGC.BU.7727503YJ2772H,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727503&rc2=YJ2772H,7727503YJ2772H,7727503YJ2772H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,36,34, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727503YJ2772H,jpeg,NotOfficial,grossFloorArea,2115,m2,262.500000000000000,1202.798310780000065,315.734556579750006,43.445074985373601,91.826516202644441,350.951825492100625
4,ES.SDGC.BU.7727504YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727504&rc2=YJ2772F,7727504YJ2772F,7727504YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727504YJ2772F,jpeg,NotOfficial,grossFloorArea,1439,m2,150.000000000000000,1187.021738689999893,178.053260803499995,24.500128686561599,79.206165222938097,237.475467992814799
5,ES.SDGC.BU.7727505YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727505&rc2=YJ2772F,7727505YJ2772F,7727505YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,24,22, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727505YJ2772F,jpeg,NotOfficial,grossFloorArea,1395,m2,200.000000000000000,1214.035266880000108,242.807053376000027,33.410250544537604,66.943772184705765,229.833872492609373
6,ES.SDGC.BU.7727506YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727506&rc2=YJ2772F,7727506YJ2772F,7727506YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,36,34, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727506YJ2772F,jpeg,NotOfficial,grossFloorArea,2354,m2,312.500000000000000,1219.906813959999909,381.220879362500000,52.455993000279996,99.090885266043870,392.551287500695423
7,ES.SDGC.BU.7727507YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727507&rc2=YJ2772F,7727507YJ2772F,7727507YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,36,33, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727507YJ2772F,jpeg,NotOfficial,grossFloorArea,2370,m2,318.750000000000000,1211.059156230000099,386.025106048312523,53.117054592247804,99.289354478906461,395.363577498102416
8,ES.SDGC.BU.7727508YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727508&rc2=YJ2772F,7727508YJ2772F,7727508YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,24,22, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727508YJ2772F,jpeg,NotOfficial,grossFloorArea,1391,m2,206.250000000000000,1194.513109609999901,246.368328857062465,33.900282050731796,67.336119204285566,230.668549996437321
9,ES.SDGC.BU.7727509YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727509&rc2=YJ2772F,7727509YJ2772F,7727509YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727509YJ2772F,jpeg,NotOfficial,grossFloorArea,1912,m2,281.250000000000000,1192.702582469999925,335.447601319687521,46.157589941589002,93.699391421858323,315.709830018173022
10,ES.SDGC.BU.7727510YJ2772F,2020/12/18 00:00:00.000,functional,1957/01/01 00:00:00.000,1957/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7727510&rc2=YJ2772F,7727510YJ2772F,7727510YJ2772F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,24,22, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7727510YJ2772F,jpeg,NotOfficial,grossFloorArea,1408,m2,150.000000000000000,1196.086069740000084,179.412910461000024,24.687216479433605,67.552378393510637,233.416299997576317
