OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.5126701YJ2752E,2020/12/18 00:00:00.000,functional,1973/01/01 00:00:00.000,1973/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5126701&rc2=YJ2752E,5126701YJ2752E,5126701YJ2752E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,335,101, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5126701YJ2752E,jpeg,NotOfficial,grossFloorArea,24189,m2,1306.250000000000000,1138.371359210000037,1486.997587968062589,204.610868104405398,202.561338053120465,2256.514469906753220
2,ES.SDGC.BU.5126704YJ2752E,2020/10/27 00:00:00.000,functional,1800/01/01 00:00:00.000,1800/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5126704&rc2=YJ2752E,5126704YJ2752E,5126704YJ2752E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,11,9, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5126704YJ2752E,jpeg,NotOfficial,grossFloorArea,730,m2,62.500000000000000,1210.610778810000056,75.663173675625004,10.411252697766001,7.680334817372438,2.676724198975656
3,ES.SDGC.BU.5126705YJ2752E,2020/12/18 00:00:00.000,functional,1989/01/01 00:00:00.000,1989/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5126705&rc2=YJ2752E,5126705YJ2752E,5126705YJ2752E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,15,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5126705YJ2752E,jpeg,NotOfficial,grossFloorArea,1775,m2,81.250000000000000,1140.168710559999909,92.638707732999990,12.747086184060798,26.397201858110805,7.832668587727512
4,ES.SDGC.BU.5128507YJ2752G,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128507&rc2=YJ2752G,5128507YJ2752G,5128507YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,4,3, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128507YJ2752G,jpeg,NotOfficial,grossFloorArea,464,m2,56.250000000000000,1155.445081919999893,64.993785857999995,8.943144934060799,59.816227981495615,114.494714122969938
5,ES.SDGC.BU.5128508YJ2752G,2020/12/18 00:00:00.000,functional,2008/01/01 00:00:00.000,2008/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128508&rc2=YJ2752G,5128508YJ2752G,5128508YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,8,6, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128508YJ2752G,jpeg,NotOfficial,grossFloorArea,832,m2,50.000000000000000,1150.612701419999894,57.530635070999999,7.916215385769600,58.490434852956071,177.262182333082137
6,ES.SDGC.BU.5128509YJ2752G,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128509&rc2=YJ2752G,5128509YJ2752G,5128509YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_2_retail,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128509YJ2752G,jpeg,NotOfficial,grossFloorArea,412,m2,81.250000000000000,1168.943758449999905,94.976680374062482,13.068791219470997,52.754412414359571,107.179937003151011
7,ES.SDGC.BU.5128510YJ2752G,2020/12/18 00:00:00.000,functional,1800/01/01 00:00:00.000,1800/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128510&rc2=YJ2752G,5128510YJ2752G,5128510YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,8, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128510YJ2752G,jpeg,NotOfficial,grossFloorArea,809,m2,125.000000000000000,1111.891415410000036,138.986426926250004,19.124532345052000,84.902025520485665,241.402421282743376
8,ES.SDGC.BU.5128511YJ2752G,2020/12/18 00:00:00.000,functional,1880/01/01 00:00:00.000,1880/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128511&rc2=YJ2752G,5128511YJ2752G,5128511YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128511YJ2752G,jpeg,NotOfficial,grossFloorArea,281,m2,31.250000000000000,902.390197754000042,28.199693679812501,3.880277850342201,46.330716305640955,118.875493000810707
9,ES.SDGC.BU.5128512YJ2752G,2020/12/18 00:00:00.000,functional,1780/01/01 00:00:00.000,1780/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128512&rc2=YJ2752G,5128512YJ2752G,5128512YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,4,3, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128512YJ2752G,jpeg,NotOfficial,grossFloorArea,281,m2,37.500000000000000,890.229410807000022,33.383602905262499,4.593583759764120,38.993809964843365,70.319757780717509
10,ES.SDGC.BU.5128515YJ2752G,2020/12/18 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5128515&rc2=YJ2752G,5128515YJ2752G,5128515YJ2752G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,4,3, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5128515YJ2752G,jpeg,NotOfficial,grossFloorArea,849,m2,143.750000000000000,1110.389621900000066,159.618508148125017,21.963506721182000,76.139374244402561,232.386717160914486
