OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.4342101YJ2744C,2020/10/21 00:00:00.000,functional,1982/01/01 00:00:00.000,1982/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342101&rc2=YJ2744C,4342101YJ2744C,4342101YJ2744C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,43,42, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342101YJ2744C,jpeg,NotOfficial,grossFloorArea,5273,m2,356.250000000000000,1161.421977799999922,413.756579591249988,56.932905351755998,108.040966912288752,721.564924519041824
2,ES.SDGC.BU.4342102YJ2744C,2020/12/18 00:00:00.000,functional,1983/01/01 00:00:00.000,1983/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342102&rc2=YJ2744C,4342102YJ2744C,4342102YJ2744C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,77,57, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342102YJ2744C,jpeg,NotOfficial,grossFloorArea,6793,m2,475.000000000000000,1135.388918419999982,539.309736249499906,74.209019707931191,128.062563162147626,947.795185506513121
3,ES.SDGC.BU.4342501YJ2744C,2020/10/21 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342501&rc2=YJ2744C,4342501YJ2744C,4342501YJ2744C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,42,38, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342501YJ2744C,jpeg,NotOfficial,grossFloorArea,3582,m2,131.250000000000000,1050.556315099999892,137.885516356874973,18.973047050705997,104.039031462570293,474.895826996564722
4,ES.SDGC.BU.4342502YJ2744C,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342502&rc2=YJ2744C,4342502YJ2744C,4342502YJ2744C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,33,31, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342502YJ2744C,jpeg,NotOfficial,grossFloorArea,2545,m2,112.500000000000000,1134.855305990000033,127.671221923874995,17.567560136725199,87.854015670440489,380.901274991682726
5,ES.SDGC.BU.4342503YJ2744C,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342503&rc2=YJ2744C,4342503YJ2744C,4342503YJ2744C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,75,70, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342503YJ2744C,jpeg,NotOfficial,grossFloorArea,6049,m2,375.000000000000000,1065.829417930000091,399.686031723750034,54.996797965188009,144.513760432023020,1078.102203143605948
6,ES.SDGC.BU.4342504YJ2744A,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342504&rc2=YJ2744A,4342504YJ2744A,4342504YJ2744A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,74,69, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342504YJ2744A,jpeg,NotOfficial,grossFloorArea,5400,m2,262.500000000000000,1096.201434909999989,287.752876663874986,39.594795828949202,117.526699501515324,748.574973530675720
7,ES.SDGC.BU.4342505YJ2744A,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342505&rc2=YJ2744A,4342505YJ2744A,4342505YJ2744A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,40,38, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342505YJ2744A,jpeg,NotOfficial,grossFloorArea,3116,m2,181.250000000000000,1138.859164530000044,206.418223571062498,28.403147563378198,82.693095376763679,409.432722972377348
8,ES.SDGC.BU.4342506YJ2744A,2020/10/21 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342506&rc2=YJ2744A,4342506YJ2744A,4342506YJ2744A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,76,70, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342506YJ2744A,jpeg,NotOfficial,grossFloorArea,5407,m2,350.000000000000000,1198.427805219999982,419.449731826999994,57.716283099395199,115.746389583900864,736.969588991033220
9,ES.SDGC.BU.4342507YJ2744A,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342507&rc2=YJ2744A,4342507YJ2744A,4342507YJ2744A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,67,63, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342507YJ2744A,jpeg,NotOfficial,grossFloorArea,4321,m2,293.750000000000000,1181.417354500000101,347.041347884375000,47.752889468890004,109.094097770185854,622.919873007414822
10,ES.SDGC.BU.4342508YJ2744A,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4342508&rc2=YJ2744A,4342508YJ2744A,4342508YJ2744A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,34,32, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4342508YJ2744A,jpeg,NotOfficial,grossFloorArea,2629,m2,112.500000000000000,1160.762688530000105,130.585802459625029,17.968606418444406,81.555849105185985,384.775425732513384
