OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.0031101YJ3703A,2020/12/18 00:00:00.000,functional,1988/01/01 00:00:00.000,1988/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031101&rc2=YJ3703A,0031101YJ3703A,0031101YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031101YJ3703A,jpeg,NotOfficial,grossFloorArea,2973,m2,1118.750000000000000,1152.690324330000067,1289.572300344187624,177.445148527360203,358.290397266731077,1857.447535770780632
2,ES.SDGC.BU.0031102YJ2793B,2020/12/18 00:00:00.000,functional,1973/01/01 00:00:00.000,1973/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031102&rc2=YJ2793B,0031102YJ2793B,0031102YJ2793B,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,228,154, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031102YJ2793B,jpeg,NotOfficial,grossFloorArea,18407,m2,2243.750000000000000,1050.298947819999967,2356.608264171125029,324.269297149946794,503.315906970959020,4663.988838175743695
3,ES.SDGC.BU.0031301YJ3703C,2020/12/18 00:00:00.000,functional,2008/01/01 00:00:00.000,2008/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031301&rc2=YJ3703C,0031301YJ3703C,0031301YJ3703C,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,51,22, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031301YJ3703C,jpeg,NotOfficial,grossFloorArea,3437,m2,437.500000000000000,1210.967205809999996,529.798152541874970,72.900225789761990,119.605653650033148,727.182051156182183
4,ES.SDGC.BU.0031303YJ3703A,2020/12/18 00:00:00.000,functional,1927/01/01 00:00:00.000,1927/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031303&rc2=YJ3703A,0031303YJ3703A,0031303YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,4,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031303YJ3703A,jpeg,NotOfficial,grossFloorArea,486,m2,175.000000000000000,1057.402956279999898,185.045517348999965,25.462263187222394,103.638483536687929,278.126755777070116
5,ES.SDGC.BU.0031305YJ3703A,2020/12/18 00:00:00.000,functional,1926/01/01 00:00:00.000,1926/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031305&rc2=YJ3703A,0031305YJ3703A,0031305YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031305YJ3703A,jpeg,NotOfficial,grossFloorArea,216,m2,43.750000000000000,1098.244227820000106,48.048184967125003,6.611430251476400,58.671413172025595,117.030117837173975
6,ES.SDGC.BU.0031306YJ3703A,2020/12/18 00:00:00.000,functional,1925/01/01 00:00:00.000,2006/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031306&rc2=YJ3703A,0031306YJ3703A,0031306YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031306YJ3703A,jpeg,NotOfficial,grossFloorArea,593,m2,143.750000000000000,1056.238811989999931,151.834329223562492,20.892403701162198,125.414605223603743,347.092719323411245
7,ES.SDGC.BU.0031307YJ3703A,2020/12/18 00:00:00.000,functional,1940/01/01 00:00:00.000,1940/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031307&rc2=YJ3703A,0031307YJ3703A,0031307YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031307YJ3703A,jpeg,NotOfficial,grossFloorArea,289,m2,112.500000000000000,1185.204772950000006,133.335536956874989,18.346969885265999,74.178067037334969,172.188619808011680
8,ES.SDGC.BU.0031308YJ3703A,2020/12/18 00:00:00.000,functional,1925/01/01 00:00:00.000,2008/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031308&rc2=YJ3703A,0031308YJ3703A,0031308YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031308YJ3703A,jpeg,NotOfficial,grossFloorArea,472,m2,143.750000000000000,1193.705768089999992,171.595204162937506,23.611500092820201,110.768217265213991,252.731221070047326
9,ES.SDGC.BU.0031322YJ3703A,2020/12/18 00:00:00.000,functional,1923/01/01 00:00:00.000,1923/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031322&rc2=YJ3703A,0031322YJ3703A,0031322YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,4,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031322YJ3703A,jpeg,NotOfficial,grossFloorArea,309,m2,106.250000000000000,999.804507984999987,106.229228973406251,14.617141906740700,51.758310883017224,160.135383441744693
10,ES.SDGC.BU.0031326YJ3703A,2020/12/18 00:00:00.000,functional,1926/01/01 00:00:00.000,1926/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0031326&rc2=YJ3703A,0031326YJ3703A,0031326YJ3703A,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=0031326YJ3703A,jpeg,NotOfficial,grossFloorArea,326,m2,125.000000000000000,1062.253607180000017,132.781700897500002,18.270762043496003,56.302806799755494,198.138047798915323
