OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.4609701YJ2740H,2020/12/18 00:00:00.000,functional,1951/01/01 00:00:00.000,1951/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609701&rc2=YJ2740H,4609701YJ2740H,4609701YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,29,20, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609701YJ2740H,jpeg,NotOfficial,grossFloorArea,2933,m2,275.000000000000000,1085.834919319999926,298.604602812999985,41.087993347068803,130.471722795925928,640.731749978408288
2,ES.SDGC.BU.4609703YJ2740H,2020/12/18 00:00:00.000,functional,1966/01/01 00:00:00.000,1966/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609703&rc2=YJ2740H,4609703YJ2740H,4609703YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609703YJ2740H,jpeg,NotOfficial,grossFloorArea,1063,m2,75.000000000000000,1004.789967850000039,75.359247588750009,10.369432468212002,56.955072402799736,197.090249994130801
3,ES.SDGC.BU.4609704YJ2740H,2020/12/18 00:00:00.000,functional,1993/01/01 00:00:00.000,1993/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609704&rc2=YJ2740H,4609704YJ2740H,4609704YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,31,17, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609704YJ2740H,jpeg,NotOfficial,grossFloorArea,2530,m2,131.250000000000000,1142.882484069999919,150.003326034187495,20.640457662304197,79.521308435890575,291.760850008283342
4,ES.SDGC.BU.4609706YJ2740H,2020/12/18 00:00:00.000,functional,1963/01/01 00:00:00.000,1963/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609706&rc2=YJ2740H,4609706YJ2740H,4609706YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,18,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609706YJ2740H,jpeg,NotOfficial,grossFloorArea,1521,m2,168.750000000000000,1140.465361419999908,192.453529739624997,26.481605692172398,70.407386073194004,266.570549992725091
5,ES.SDGC.BU.4609708YJ2740H,2020/12/18 00:00:00.000,functional,1925/01/01 00:00:00.000,1925/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609708&rc2=YJ2740H,4609708YJ2740H,4609708YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,6,4, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609708YJ2740H,jpeg,NotOfficial,grossFloorArea,465,m2,50.000000000000000,1063.087051389999942,53.154352569499999,7.314038913563199,63.512377813260230,164.758499999000691
6,ES.SDGC.BU.4609709YJ2740H,2020/12/18 00:00:00.000,functional,1920/01/01 00:00:00.000,1920/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609709&rc2=YJ2740H,4609709YJ2740H,4609709YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,3,2, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609709YJ2740H,jpeg,NotOfficial,grossFloorArea,365,m2,56.250000000000000,1010.528137209999954,56.842207718062497,7.821487782005399,58.464865255901110,172.091800000338623
7,ES.SDGC.BU.4609710YJ2740H,2020/12/18 00:00:00.000,functional,1950/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609710&rc2=YJ2740H,4609710YJ2740H,4609710YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609710YJ2740H,jpeg,NotOfficial,grossFloorArea,130,m2,6.250000000000000,921.459777831999986,5.759123611450000,0.792455408935520,31.555151464629414,40.924225005460762
8,ES.SDGC.BU.4609711YJ2740H,2020/12/18 00:00:00.000,functional,1950/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609711&rc2=YJ2740H,4609711YJ2740H,4609711YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,11, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609711YJ2740H,jpeg,NotOfficial,grossFloorArea,1315,m2,131.250000000000000,1077.093055360000108,141.368463516000020,19.452300579801605,97.349515377031878,501.513530013882587
9,ES.SDGC.BU.4609712YJ2740H,2020/12/18 00:00:00.000,functional,1955/01/01 00:00:00.000,1955/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4609712&rc2=YJ2740H,4609712YJ2740H,4609712YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,12,11, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4609712YJ2740H,jpeg,NotOfficial,grossFloorArea,1244,m2,81.250000000000000,1112.700589690000015,90.406922912312496,12.439992592734200,65.639366852251797,195.496714998666505
10,ES.SDGC.BU.4708301YJ2740H,2020/12/18 00:00:00.000,functional,1965/01/01 00:00:00.000,1965/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=4708301&rc2=YJ2740H,4708301YJ2740H,4708301YJ2740H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,19,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=4708301YJ2740H,jpeg,NotOfficial,grossFloorArea,1171,m2,125.000000000000000,1141.755538939999951,142.719442367499994,19.638195269768001,62.686717043241295,219.079299996434997
