OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.2817001YJ2721F,2021/07/20 00:00:00.000,functional,1948/01/01 00:00:00.000,1948/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2817001&rc2=YJ2721F,2817001YJ2721F,2817001YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2817001YJ2721F,jpeg,NotOfficial,grossFloorArea,21361,m2,7543.750000000000000,1173.978009339999971,8856.196607958623645,1218.612653255106579,1701.518946360303062,9864.678553150632069
2,ES.SDGC.BU.2817002YJ2721H,2021/07/20 00:00:00.000,functional,1987/01/01 00:00:00.000,1987/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2817002&rc2=YJ2721H,2817002YJ2721H,2817002YJ2721H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2817002YJ2721H,jpeg,NotOfficial,grossFloorArea,138,m2,87.500000000000000,1149.567095079999945,100.587120819499987,13.840787824763199,47.321071917808375,136.191932511251991
3,ES.SDGC.BU.2916201YJ2721F,2020/12/18 00:00:00.000,functional,1959/01/01 00:00:00.000,1959/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2916201&rc2=YJ2721F,2916201YJ2721F,2916201YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,30,30, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2916201YJ2721F,jpeg,NotOfficial,grossFloorArea,1928,m2,275.000000000000000,1222.447604089999913,336.173091124749988,46.257417338765599,119.661609766517344,397.723422627066157
4,ES.SDGC.BU.2916401YJ2721F,2020/10/20 00:00:00.000,functional,1959/01/01 00:00:00.000,1959/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2916401&rc2=YJ2721F,2916401YJ2721F,2916401YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,30,30, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2916401YJ2721F,jpeg,NotOfficial,grossFloorArea,1918,m2,256.250000000000000,1202.780571170000030,308.212521362312486,42.410042939454200,119.687925661197383,396.420584987625205
5,ES.SDGC.BU.2916901YJ2721F,2020/10/20 00:00:00.000,functional,1959/01/01 00:00:00.000,1959/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2916901&rc2=YJ2721F,2916901YJ2721F,2916901YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,30,30, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2916901YJ2721F,jpeg,NotOfficial,grossFloorArea,1927,m2,268.750000000000000,1222.036530249999942,328.422317504687442,45.190910888644993,121.114687839132131,398.298537501296323
6,ES.SDGC.BU.2917401YJ2721F,2020/12/18 00:00:00.000,functional,1961/01/01 00:00:00.000,1995/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2917401&rc2=YJ2721F,2917401YJ2721F,2917401YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2917401YJ2721F,jpeg,NotOfficial,grossFloorArea,164,m2,125.000000000000000,1072.682116700000051,134.085264587500006,18.450132407240002,61.102248741697508,163.725430249383521
7,ES.SDGC.BU.2917601YJ2721F,2020/12/18 00:00:00.000,functional,1959/01/01 00:00:00.000,1959/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2917601&rc2=YJ2721F,2917601YJ2721F,2917601YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,30,30, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2917601YJ2721F,jpeg,NotOfficial,grossFloorArea,1923,m2,287.500000000000000,1219.349549669999988,350.562995530124965,48.237468184945193,120.831706024254061,398.281282984636675
8,ES.SDGC.BU.2917901YJ2721F,2020/10/20 00:00:00.000,functional,1959/01/01 00:00:00.000,1959/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2917901&rc2=YJ2721F,2917901YJ2721F,2917901YJ2721F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,30,30, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2917901YJ2721F,jpeg,NotOfficial,grossFloorArea,1927,m2,250.000000000000000,1213.386434940000072,303.346608735000018,41.740493361936004,117.999293919516802,394.192322991057495
9,ES.SDGC.BU.2918401YJ2721H,2020/10/20 00:00:00.000,functional,1959/01/01 00:00:00.000,1959/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2918401&rc2=YJ2721H,2918401YJ2721H,2918401YJ2721H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,30,30, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2918401YJ2721H,jpeg,NotOfficial,grossFloorArea,2249,m2,337.500000000000000,1227.763262709999935,414.370101164624941,57.017325920252389,134.842063028723459,474.437269996569796
10,ES.SDGC.BU.2919201YJ2721H,2020/10/20 00:00:00.000,functional,1997/01/01 00:00:00.000,1997/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2919201&rc2=YJ2721H,2919201YJ2721H,2919201YJ2721H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,62,60, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2919201YJ2721H,jpeg,NotOfficial,grossFloorArea,12487,m2,762.500000000000000,1183.050237440000046,902.075806048000004,124.125630912204798,222.717260279058166,1923.600415006186267
11,ES.SDGC.BU.2919401YJ2721H,2021/07/20 00:00:00.000,functional,1980/01/01 00:00:00.000,1980/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=2919401&rc2=YJ2721H,2919401YJ2721H,2919401YJ2721H,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_3_publicServices,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2919401YJ2721H,jpeg,NotOfficial,grossFloorArea,1161,m2,331.250000000000000,1185.879749230000016,392.822666932437528,54.052398969903408,108.485572344018820,592.822777051799562
