OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.000100100YJ27F,2008/10/20 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0001001&rc2=00YJ27F,000100100YJ27F,000100100YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000100100YJ27F,jpeg,NotOfficial,grossFloorArea,201,m2,87.500000000000000,1282.466901510000071,112.215853882125018,15.440901494180403,51.431448903595225,130.566099997473515
2,ES.SDGC.BU.000100200YJ27F,2016/10/04 00:00:00.000,functional,1890/01/01 00:00:00.000,1890/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0001002&rc2=00YJ27F,000100200YJ27F,000100200YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000100200YJ27F,jpeg,NotOfficial,grossFloorArea,615,m2,325.000000000000000,1188.757851229999915,386.346301649749989,53.161251107005604,126.930990647792839,576.314135008026142
3,ES.SDGC.BU.000100300YJ27F,2016/03/15 00:00:00.000,functional,1970/01/01 00:00:00.000,2004/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0001003&rc2=00YJ27F,000100300YJ27F,000100300YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_1_office,2,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000100300YJ27F,jpeg,NotOfficial,grossFloorArea,6451,m2,1300.000000000000000,1187.476156969999920,1543.719004060999850,212.415734958793564,293.685301548263169,1583.531950037850493
4,ES.SDGC.BU.000200100YJ27F,2016/10/04 00:00:00.000,functional,2004/01/01 00:00:00.000,2004/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002001&rc2=00YJ27F,000200100YJ27F,000200100YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200100YJ27F,jpeg,NotOfficial,grossFloorArea,1603,m2,1025.000000000000000,1203.820142049999959,1233.915645601249935,169.786792834731983,252.404038398751510,1521.758761163341433
5,ES.SDGC.BU.000200200YJ27F,2008/10/20 00:00:00.000,functional,1860/01/01 00:00:00.000,1860/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002002&rc2=00YJ27F,000200200YJ27F,000200200YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200200YJ27F,jpeg,NotOfficial,grossFloorArea,444,m2,87.500000000000000,1157.224783760000037,101.257168579000009,13.932986396470399,86.009071973776315,238.521055007676523
6,ES.SDGC.BU.000200300YJ27F,2013/08/02 00:00:00.000,functional,1860/01/01 00:00:00.000,1860/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0002003&rc2=00YJ27F,000200300YJ27F,000200300YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000200300YJ27F,jpeg,NotOfficial,grossFloorArea,324,m2,218.750000000000000,1194.463696289999916,261.288933563437467,35.953357258328992,98.839174623300480,275.006933362657435
7,ES.SDGC.BU.000500400YJ27E,2016/10/18 00:00:00.000,functional,1900/01/01 00:00:00.000,1996/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0005004&rc2=00YJ27E,000500400YJ27E,000500400YJ27E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000500400YJ27E,jpeg,NotOfficial,grossFloorArea,694,m2,425.000000000000000,1159.245816399999967,492.679471970000009,67.792695343071998,164.102604209057091,636.242263397004535
8,ES.SDGC.BU.000500500YJ27E,2016/03/15 00:00:00.000,functional,1965/01/01 00:00:00.000,2010/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0005005&rc2=00YJ27E,000500500YJ27E,000500500YJ27E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,3_industrial,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000500500YJ27E,jpeg,NotOfficial,grossFloorArea,3481,m2,2425.000000000000000,1155.145339339999964,2801.227447899500021,385.448896830971194,293.322783034031659,2951.564962856895818
9,ES.SDGC.BU.000601100YJ27F,2008/10/20 00:00:00.000,functional,1940/01/01 00:00:00.000,1940/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0006011&rc2=00YJ27F,000601100YJ27F,000601100YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000601100YJ27F,jpeg,NotOfficial,grossFloorArea,299,m2,75.000000000000000,1192.359720870000046,89.426979065250009,12.305152319378401,72.016359268454579,187.930322498673576
10,ES.SDGC.BU.000601200YJ27F,2016/10/04 00:00:00.000,functional,1890/01/01 00:00:00.000,2004/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0006012&rc2=00YJ27F,000601200YJ27F,000601200YJ27F,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000601200YJ27F,jpeg,NotOfficial,grossFloorArea,352,m2,137.500000000000000,1154.945259789999909,158.804973221124982,21.851564315226799,95.090514189385402,265.845001692936762
