OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.6593301YJ2669D,2020/10/23 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593301&rc2=YJ2669D,6593301YJ2669D,6593301YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,24,20, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593301YJ2669D,jpeg,NotOfficial,grossFloorArea,2203,m2,162.500000000000000,1121.341064449999976,182.217922973125013,25.073186201102004,91.665667647476738,373.765949995630820
2,ES.SDGC.BU.6593302YJ2669D,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593302&rc2=YJ2669D,6593302YJ2669D,6593302YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,21,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593302YJ2669D,jpeg,NotOfficial,grossFloorArea,1597,m2,131.250000000000000,1123.022248770000033,147.396670151062523,20.281781812786203,75.250456161565069,305.223407614446955
3,ES.SDGC.BU.6593303YJ2669D,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593303&rc2=YJ2669D,6593303YJ2669D,6593303YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593303YJ2669D,jpeg,NotOfficial,grossFloorArea,1147,m2,112.500000000000000,1059.749779600000011,119.221850204999996,16.404926588207999,63.237893861337049,221.255195130695682
4,ES.SDGC.BU.6593304YJ2669D,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593304&rc2=YJ2669D,6593304YJ2669D,6593304YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,13,10, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593304YJ2669D,jpeg,NotOfficial,grossFloorArea,1167,m2,112.500000000000000,1108.086517330000106,124.659733199625009,17.153179288268404,71.465844692590764,243.255350126081481
5,ES.SDGC.BU.6593305YJ2669D,2020/10/23 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593305&rc2=YJ2669D,6593305YJ2669D,6593305YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,27,22, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593305YJ2669D,jpeg,NotOfficial,grossFloorArea,2366,m2,225.000000000000000,1144.349751790000028,257.478694152749995,35.429068315418398,76.339287456868917,385.630940010558049
6,ES.SDGC.BU.6593306YJ2669D,2020/10/23 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593306&rc2=YJ2669D,6593306YJ2669D,6593306YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593306YJ2669D,jpeg,NotOfficial,grossFloorArea,1602,m2,137.500000000000000,1208.276564159999907,166.138027571999999,22.860592593907199,70.743621580215191,294.218245005620986
7,ES.SDGC.BU.6593307YJ2669D,2020/12/18 00:00:00.000,functional,1971/01/01 00:00:00.000,1971/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593307&rc2=YJ2669D,6593307YJ2669D,6593307YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,28,25, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593307YJ2669D,jpeg,NotOfficial,grossFloorArea,3287,m2,381.250000000000000,1188.239544979999891,453.016326523624969,62.335046529650796,111.872354682955105,640.205572636878514
8,ES.SDGC.BU.6593308YJ2669D,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6593308&rc2=YJ2669D,6593308YJ2669D,6593308YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,18,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6593308YJ2669D,jpeg,NotOfficial,grossFloorArea,1785,m2,162.500000000000000,1126.396376389999887,183.039411163374979,25.186222976080398,76.945512674905402,330.522252377151233
9,ES.SDGC.BU.6594902YJ2669D,2020/12/18 00:00:00.000,functional,1930/01/01 00:00:00.000,1930/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6594902&rc2=YJ2669D,6594902YJ2669D,6594902YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6594902YJ2669D,jpeg,NotOfficial,grossFloorArea,304,m2,100.000000000000000,1074.325061799999958,107.432506179999990,14.782712850368000,60.569646980431628,191.182690009277252
10,ES.SDGC.BU.6594903YJ2669D,2020/12/18 00:00:00.000,functional,1930/01/01 00:00:00.000,1930/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6594903&rc2=YJ2669D,6594903YJ2669D,6594903YJ2669D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6594903YJ2669D,jpeg,NotOfficial,grossFloorArea,283,m2,87.500000000000000,1092.431287489999931,95.587737655374994,13.152872701379598,56.627005938217359,151.844282616003881
