id,vector,valor_vector,huella,reduccion,huella/capita
1.1,E1,"(0, 'Actual')",4057.160739699458,0,1.3079177110572078
1.2,E1,"(0, 'Actual')",6309.232191482499,0,1.5948514134182252
1.3,E1,"(0, 'Actual')",6520.057727196217,0,0.9727074037291088
1.4,E1,"(0, 'Actual')",3544.277402933085,0,0.7463207839404263
1.5,E1,"(0, 'Actual')",3907.810264560265,0,1.0349073793856634
1.6,E1,"(0, 'Actual')",18763.41155346123,0,3.2935600409796786
10.1,E1,"(0, 'Actual')",7209.861502759116,0,0.37543540422615684
10.2,E1,"(0, 'Actual')",4323.027421867728,0,0.3594136532979488
10.3,E1,"(0, 'Actual')",13272.916161397237,0,0.5955452129670766
10.4,E1,"(0, 'Actual')",1278.2142666685177,0,0.4204652192988545
10.5,E1,"(0, 'Actual')",2981.7405410688934,0,0.39545630518155084
10.6,E1,"(0, 'Actual')",30337.729865224363,0,10.95620435724968
10.7,E1,"(0, 'Actual')",7666.987745093262,0,0.9973966105233851
11.1,E1,"(0, 'Actual')",14032.170360521013,0,1.4778483792017918
11.2,E1,"(0, 'Actual')",10619.52144221883,0,0.5530712693202869
11.3,E1,"(0, 'Actual')",5732.75803673381,0,0.44703353374405874
11.4,E1,"(0, 'Actual')",2595.9259835768635,0,0.32951586488662904
11.5,E1,"(0, 'Actual')",3958.7570999352483,0,0.6502557654295743
12.1,E1,"(0, 'Actual')",6701.000214763805,0,0.2729198148806177
12.2,E1,"(0, 'Actual')",5073.829901849793,0,0.5823955351067255
12.3,E1,"(0, 'Actual')",5456.733097773837,0,0.37290597264906966
12.4,E1,"(0, 'Actual')",2221.605168466324,0,0.490312330272859
12.5,E1,"(0, 'Actual')",12639.443189211344,0,0.9631519613816463
13.1,E1,"(0, 'Actual')",2354.6592828554712,0,0.2778686904478961
13.2,E1,"(0, 'Actual')",3790.0527642549287,0,0.3243797299088436
13.3,E1,"(0, 'Actual')",4177.791130904245,0,0.5956360323501917
13.4,E1,"(0, 'Actual')",3901.492080488716,0,0.723034114249206
13.5,E1,"(0, 'Actual')",21643.63630134631,0,6.546774440818605
14.1,E1,"(0, 'Actual')",6637.272166289176,0,0.2913768017160181
14.2,E1,"(0, 'Actual')",7042.098648613583,0,1.3324689968994479
15.1,E1,"(0, 'Actual')",2312.75511080704,0,0.13957484072462523
15.2,E1,"(0, 'Actual')",3549.4885771561603,0,0.13634573722414475
15.3,E1,"(0, 'Actual')",9294.509377079901,0,0.8478071127501506
16.1,E1,"(0, 'Actual')",5325.171546428933,0,0.12718953727020477
16.2,E1,"(0, 'Actual')",967.641532119678,0,0.16445301361653264
17.1,E1,"(0, 'Actual')",2263.3919898964928,0,2.279347421849439
17.2,E1,"(0, 'Actual')",7857.597524827302,0,8.65374176743095
17.3,E1,"(0, 'Actual')",4382.933270005495,0,3.6800447271246806
17.4,E1,"(0, 'Actual')",104.93853714668023,0,0.2890868791919566
17.5,E1,"(0, 'Actual')",8.782230020908601,0,0.15407421089313336
17.6,E1,"(0, 'Actual')",1797.8417105276494,0,0.7197124541743993
17.7,E1,"(0, 'Actual')",2240.8014207220895,0,3.052862971011021
18.1,E1,"(0, 'Actual')",7069.1410019622945,0,0.5285339066887697
18.2,E1,"(0, 'Actual')",2906.4180552502135,0,2.4819966312982182
19.1,E1,"(0, 'Actual')",5255.674457900792,0,4.102790365262132
19.2,E1,"(0, 'Actual')",13279.85129456409,0,1.9534938650432614
19.3,E1,"(0, 'Actual')",1003.5274770157649,0,0.3864179734369522
19.4,E1,"(0, 'Actual')",1093.7334584723176,0,0.5771680519642837
19.5,E1,"(0, 'Actual')",4887.995137086872,0,6.406284583337971
19.6,E1,"(0, 'Actual')",645.951985413714,0,0.4341075170791089
19.7,E1,"(0, 'Actual')",1716.3227263089575,0,0.3518496773901102
19.8,E1,"(0, 'Actual')",22677.23678747878,0,14.271388790106219
2.1,E1,"(0, 'Actual')",15679.172232385685,0,0.6605928895043474
2.2,E1,"(0, 'Actual')",9348.123313361444,0,1.3314518321266835
2.3,E1,"(0, 'Actual')",10218.655095445152,0,0.8575574937432991
3.1,E1,"(0, 'Actual')",5289.378396448835,0,0.8012995601346515
3.2,E1,"(0, 'Actual')",4021.0855586417083,0,0.8847272956307389
3.3,E1,"(0, 'Actual')",7094.811964286682,0,0.47619383611562405
3.4,E1,"(0, 'Actual')",14149.765719601404,0,0.6291301284781203
4.1,E1,"(0, 'Actual')",8589.929576602393,0,0.7466257780619203
4.2,E1,"(0, 'Actual')",3519.4149896281165,0,0.6641658783974554
4.3,E1,"(0, 'Actual')",886.8146332794366,0,0.1764454105211772
4.4,E1,"(0, 'Actual')",21491.146154908973,0,1.2398261310089405
5.1,E1,"(0, 'Actual')",5327.9912675293,0,0.492557203247601
5.2,E1,"(0, 'Actual')",5871.739766466131,0,0.5786675634636967
5.3,E1,"(0, 'Actual')",8857.712148888393,0,1.1308198836829304
5.4,E1,"(0, 'Actual')",3803.2266586144347,0,0.44686014083121073
5.5,E1,"(0, 'Actual')",3396.3706497494977,0,0.34996091187527023
6.1,E1,"(0, 'Actual')",5706.7102268395065,0,0.8465673085357523
6.2,E1,"(0, 'Actual')",14045.920169679906,0,0.9620493266904045
6.3,E1,"(0, 'Actual')",2768.670186311073,0,0.43539395916198664
